class_id,class_name,precision,recall,f1,support
0,Bean,0.9803921568627451,1.0,0.9900990099009901,200.0
1,Broccoli,0.99,0.99,0.99,200.0
2,Capsicum,0.9950248756218906,1.0,0.9975062344139651,200.0
3,Carrot,0.995,0.995,0.995,200.0
4,Cauliflower,0.9950248756218906,1.0,0.9975062344139651,200.0
5,Papaya,1.0,0.995,0.9974937343358395,200.0
6,Potato,0.9900990099009901,1.0,0.9950248756218906,200.0
7,Pumpkin,1.0,0.99,0.9949748743718593,200.0
8,Radish,1.0,0.995,0.9974937343358395,200.0
9,Tomato,1.0,0.98,0.98989898989899,200.0
